agent_id, n_trial, n_agents, iters, cost
0,None,3,15,1476.1385620574379,
1,None,3,15,1825.9946003630798,
2,None,3,15,458.8123164773849,
0,None,3,16,1476.8534541526387,
1,None,3,16,1827.2217521427774,
2,None,3,16,459.3046982775943,
1,None,3,17,1828.039590660247,
0,None,3,17,1477.3293878417549,
2,None,3,17,459.6308997861649,
0,None,3,18,1477.646274867353,
1,None,3,18,1828.5848310454971,
2,None,3,18,459.84719153485275,
0,None,3,19,1477.8572941007678,
2,None,3,19,459.9907001289188,
2,None,3,1,86.46489475991211,
0,None,3,1,698.4926734589204,
1,None,3,1,903.3855490346353,
1,None,3,2,1061.636078773896,
0,None,3,2,810.2503588093803,
2,None,3,2,171.43361339680695,
1,None,3,3,1205.8071074130721,
2,None,3,3,246.40619968896075,
0,None,3,3,914.0294450320612,
1,None,3,4,1318.5185155075633,
0,None,3,4,995.5753338893855,
2,None,3,4,303.89236746266096,
2,None,3,5,340.7978223462445,
0,None,3,5,1055.329097915316,
1,None,3,5,1398.8112062351015,
1,None,3,6,1454.9874655660165,
0,None,3,6,1097.4875002835763,
2,None,3,6,366.1638008752652,
1,None,3,7,1493.7145857111072,
0,None,3,7,1126.5816523552023,
2,None,3,7,383.3039522137519,
0,None,3,8,1146.3909167118973,
1,None,3,8,1520.0503066935603,
2,None,3,8,394.7774969321293,
1,None,3,9,1537.863451335672,
0,None,3,9,1159.7644050961687,
2,None,3,9,402.4174657092308,
1,None,3,10,1549.8355728214215,
0,None,3,10,1168.745819877036,
2,None,3,10,407.49001015398704,
1,None,3,11,1557.8870208923163,
0,None,3,11,1174.75741689213,
2,None,3,11,410.85288508511525,
2,None,3,12,413.0808646191199,
1,None,3,12,1563.2829487432614,
0,None,3,12,1178.7726067023361,
1,None,3,13,1566.8860523961112,
0,None,3,13,1181.4507563144045,
2,None,3,13,414.5567191401171,
0,None,3,14,1183.2356306369225,
1,None,3,14,1569.290108165464,
2,None,3,14,415.5344787265564,
0,None,3,15,1184.4245615889631,
1,None,3,15,1570.893351495843,
2,None,3,15,416.1824325282094,
1,None,3,16,1571.9622211666294,
0,None,3,16,1185.2163239921272,
2,None,3,16,416.6119803248368,
1,None,3,17,1572.6747025121704,
0,None,3,17,1185.7435231555914,
2,None,3,17,416.89684933726994,
0,None,3,18,1186.0945449027367,
1,None,3,18,1573.149577290633,
2,None,3,18,417.08584136204263,
1,None,3,1,777.2300015351921,
0,None,3,1,528.696906730196,
2,None,3,1,75.11269329592403,
0,None,3,2,633.5972664721755,
1,None,3,2,928.8327953432419,
2,None,3,2,156.4438402802206,
1,None,3,3,1065.6313696280686,
0,None,3,3,731.8778039910217,
2,None,3,3,225.5921243084424,
1,None,3,4,1174.5410478877288,
0,None,3,4,809.3642823186367,
2,None,3,4,278.17927636102434,
0,None,3,5,866.1369412697138,
2,None,3,5,315.68728439908364,
1,None,3,5,1251.3966726324597,
1,None,3,6,1305.5785039267453,
0,None,3,6,906.2662669211506,
2,None,3,6,341.58657765592676,
